ID,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1050,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2
5846,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6
1859,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5
7503,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4
10401,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3
1618,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8
3332,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8
2261,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7
5346,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7
4119,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3
535,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1
5268,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7
273,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7
4452,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7
8504,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2
771,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2
8996,,2,1,4,230,42,192,49,37,53,12,7,2,8,9
9235,,1,1,45,7,0,8,2,0,1,1,1,0,2,7
5798,,0,0,87,445,37,359,98,28,18,1,2,4,8,1
11178,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7
2230,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5
7516,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6
7247,47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6
11100,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7
4646,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2
3037,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5
1473,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8
1016,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6
4518,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5
9370,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4
8908,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1
8373,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5
7533,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7
2683,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6
3629,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7
10991,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2
5077,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3
7431,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9
3267,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6
999,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3
9215,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7
2286,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6
1592,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1
367,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9
5234,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5
9862,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6
9805,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4
6205,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5
8442,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7
7386,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7
7215,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2
1491,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1
11071,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1
3381,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6
8268,,0,1,23,352,0,27,10,0,15,3,6,1,7,6
11051,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4
8026,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5
433,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8
9597,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4
1295,,0,1,96,231,65,196,38,71,124,1,6,5,7,4
5290,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8
1685,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3
5342,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8
9579,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8
7660,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5
1461,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7
821,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2
11084,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7
8690,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2
2937,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6
9701,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7
9949,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8
10837,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6
3120,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8
5885,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8
4050,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3
3830,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3
7987,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6
7798,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7
92,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6
7055,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5
10240,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4
3025,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7
9283,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4
9970,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2
2730,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1
2795,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7
9260,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6
8182,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8
10095,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2
8475,157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0
4370,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6
10573,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3
3712,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4
6637,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1
3152,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5
5610,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7
6460,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8
1349,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6
1880,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5
641,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4
8717,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5
10314,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4
10854,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7
10492,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2
6935,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2
7698,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5
3559,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6
10562,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2
10796,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6
2563,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6
3518,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9
5823,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5
3934,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5
6982,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2
6431,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7
9733,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6
5602,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3
7829,36640,1,0,99,15,6,8,7,4,25,1,2,1,2,5
1324,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8
326,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6
7224,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8
6999,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3
9938,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2
6422,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2
3182,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8
7300,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5
10424,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1
8727,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6
2798,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4
1030,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7
624,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6
5176,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9
5552,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6
868,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6
380,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8
2677,46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4
6521,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1
6927,44377,1,1,70,224,0,30,0,0,10,8,5,1,5,8
2877,46014,1,1,21,410,0,59,19,9,44,10,7,1,8,7
0,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1
1584,41443,1,0,79,171,7,171,25,19,89,6,8,1,5,8
7264,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8
6274,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3
1377,44551,0,1,24,182,4,33,0,0,66,2,4,1,5,7
454,69508,1,0,48,824,32,162,42,32,43,2,11,4,11,6
1755,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3
2075,72460,0,0,56,377,10,540,80,30,10,1,3,5,7,1
4785,77622,0,2,3,520,7,154,19,0,14,2,6,3,11,3
9076,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8
7079,63887,0,1,38,897,23,207,15,11,92,5,9,6,12,6
4653,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8
7375,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8
709,51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8
460,79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2
3726,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8
6798,37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7
5341,81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7
1606,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8
9617,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3
3233,62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5
89,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6
2936,23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7
9449,79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3
7297,7500,1,0,54,5,3,10,12,7,20,4,3,1,3,7
11004,60182,0,1,23,8,0,5,7,0,2,1,1,0,2,4
313,73455,0,0,98,901,61,757,186,163,20,1,6,5,10,3
9940,64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3
10735,22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9
9529,73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2
6439,61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7
7411,31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6
2176,80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6
9265,75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5
8867,67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3
8932,65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6
10236,31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8
6340,29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6
10089,102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2
2227,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6
10992,75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8
5304,30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6
309,63342,0,1,48,918,21,118,13,10,21,3,8,3,5,6
3406,45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3
2661,18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5
3153,40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8
10264,15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7
1184,69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5
4200,44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5
9396,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9
2387,43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8
6690,38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7
1225,80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1
9703,38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7
291,72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1
4557,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6
2379,69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7
5726,31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5
3066,61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5
6336,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6
10967,33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7
2304,66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4
3445,60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5
7828,77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1
3762,69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1
4391,63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6
4669,24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7
10144,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8
8652,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7
1672,65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2
8962,44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5
9974,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7
10983,75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3
8148,50898,1,1,88,285,28,242,55,114,135,13,6,2,12,5
10102,79946,0,0,19,395,183,565,166,141,28,1,5,11,5,3
4697,35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8
9262,32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7
7254,38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7
4543,82497,0,0,32,777,129,573,216,21,203,1,2,7,9,4
4927,16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9
10451,29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6
2926,55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8
2874,35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7
9738,42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8
7119,68627,0,0,45,395,15,263,60,54,38,1,2,3,6,1
3924,57912,0,1,34,801,0,80,0,0,35,5,8,3,12,5
5827,35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5
5596,58821,0,1,44,513,14,154,19,0,28,1,9,2,9,6
10812,46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4
1717,39747,1,0,43,80,15,93,20,13,52,3,5,1,4,8
9491,23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7
9274,80950,0,0,44,525,147,112,219,147,63,1,6,7,9,2
6609,27038,0,0,64,1,26,25,17,23,15,1,3,0,3,9
6963,77457,0,0,85,675,11,400,15,45,11,1,2,5,10,1
4440,64100,0,1,93,509,0,27,0,0,10,1,8,3,6,7
1379,42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4
10032,12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6
2826,22574,2,1,28,25,0,8,2,0,2,2,2,0,3,7
2437,,0,0,69,861,138,461,60,30,61,1,6,5,12,3
6320,70893,0,0,42,768,44,561,77,44,14,1,6,6,10,3
3050,54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4
231,28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5
2392,40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7
9478,66503,1,0,30,91,64,128,65,3,50,2,4,3,6,3
113,30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5
2863,,1,2,67,738,20,172,52,50,20,6,2,3,10,7
1802,64795,0,1,23,412,5,119,38,29,77,3,3,3,12,2
520,34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7
8275,47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7
9750,64325,0,1,41,731,60,353,78,12,73,5,10,3,5,7
2607,40464,0,1,78,424,17,118,7,23,41,6,8,2,8,8
7214,62187,0,0,49,792,0,275,45,45,126,1,4,8,5,3
5835,14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8
3896,27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7
10350,54432,2,1,37,33,0,5,0,0,0,1,1,0,3,4
7786,29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8
2861,24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8
663,33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4
10675,66334,0,1,82,909,11,218,0,0,23,2,9,3,5,5
2521,35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7
9592,22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8
10151,62204,0,2,38,317,46,247,151,46,139,1,4,5,12,3
7381,75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4
4099,30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8
9560,83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3
1150,83532,0,0,36,755,144,562,104,64,224,1,4,6,4,1
10172,68655,0,0,95,456,19,832,75,118,38,1,4,5,11,3
11191,41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6
9707,55212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8
6245,59292,0,1,71,378,14,68,19,14,14,2,3,5,8,3
8234,27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8
1411,82623,0,0,58,204,34,204,172,153,173,1,2,9,4,1
8553,44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6
1826,84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1
8842,30372,1,1,33,15,0,12,7,3,7,3,2,0,3,7
11030,33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6
2579,71113,0,1,95,495,33,255,11,33,8,4,6,7,9,4
175,71952,1,0,93,656,80,455,52,107,93,2,8,4,8,4
9185,69759,0,0,38,452,20,514,13,30,0,3,4,6,5,3
11056,72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1
9365,60000,0,1,57,1048,0,217,0,0,12,5,11,3,5,6
6201,38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7
2061,50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6
6184,68462,0,0,6,561,64,785,84,128,48,1,3,3,8,1
6142,65073,0,0,65,629,17,177,69,0,8,1,5,3,5,2
4107,46681,0,2,52,269,15,69,15,19,38,2,4,6,4,5
7274,78618,0,0,87,736,163,818,212,163,61,1,4,7,10,2
9336,62187,0,1,38,512,0,83,0,0,41,3,6,2,10,4
2958,28442,2,0,53,19,3,10,11,8,6,3,2,1,4,4
933,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9
5837,51479,1,1,67,247,8,160,6,8,65,7,6,3,6,7
10704,54803,0,1,65,404,0,92,28,27,142,2,6,2,9,4
5125,79530,0,0,64,333,0,815,129,42,29,1,4,10,11,2
4432,31615,1,0,82,2,3,20,6,11,9,2,2,0,3,7
5955,72025,0,0,27,833,33,549,151,133,233,1,4,3,8,3
2928,52614,0,1,63,789,0,142,12,9,38,2,2,4,8,8
5680,35684,1,0,66,10,4,7,0,6,3,1,1,0,3,6
10313,48178,1,1,69,159,4,45,6,2,38,6,5,1,4,8
2557,29548,1,0,52,7,1,6,3,1,11,1,1,1,2,4
1245,63810,0,1,45,977,12,253,16,12,101,4,4,3,12,8
1519,38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8
10703,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8
1726,22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9
4459,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8
1729,66426,0,1,14,1043,24,97,32,24,157,2,3,5,10,6
1517,30822,1,0,92,3,9,13,2,12,12,1,1,0,3,7
2098,33581,2,0,38,11,0,5,0,0,1,1,1,0,2,8
9543,19986,1,0,74,3,6,5,0,2,6,1,0,0,3,7
6878,27421,0,0,14,43,12,96,78,40,55,3,4,1,6,7
3310,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8
2724,36143,1,0,33,12,0,1,0,0,6,1,0,1,2,3
948,10245,1,0,32,4,7,7,6,4,13,3,1,2,2,5
6720,43795,0,1,11,314,11,53,4,3,107,3,7,3,4,7
6202,63381,0,1,78,571,50,142,33,50,159,4,4,5,13,2
2066,38823,0,1,56,70,0,11,2,8,23,1,2,1,3,6
9799,83664,1,1,57,866,21,151,28,21,86,3,2,2,12,5
8318,90300,0,0,7,594,134,786,33,134,57,0,5,6,8,1
5642,62499,1,0,0,140,4,61,0,13,4,2,3,1,6,4
2669,74293,0,0,66,375,152,335,93,91,81,1,5,4,6,2
455,51012,0,0,86,102,9,63,2,9,24,1,4,1,4,6
7683,70777,0,1,80,554,35,113,0,7,78,3,5,3,12,3
3428,68682,0,0,56,919,0,505,99,30,45,1,4,9,10,2
7414,43824,1,1,18,96,1,42,12,3,32,4,3,1,4,8
6354,15345,1,0,51,5,2,16,3,2,19,2,1,1,2,8
798,23442,1,0,71,2,0,6,8,6,5,1,1,0,3,7
8213,14515,1,0,71,6,4,9,6,36,35,4,2,2,3,7
2488,31395,1,1,80,23,1,25,0,8,7,4,2,1,3,6
9999,75276,0,0,2,610,105,125,137,42,21,1,9,4,9,5
7617,42373,1,1,83,67,5,61,3,8,19,5,2,1,5,5
615,30507,0,0,29,65,36,74,38,20,110,1,5,1,4,7
2552,55521,1,2,11,416,0,26,0,0,4,9,6,3,6,7
194,48006,1,1,55,23,0,11,3,2,2,1,1,0,3,6
